seed,series,window_end_update,count,median_total_loss,next_token_loss,logged_exact_path_accuracy
1234,training_window_median,1000,1000,2.8103768825531006,,
1234,training_window_median,2000,1000,1.1430978178977966,,
1234,training_window_median,3000,1000,0.18703247606754303,,
1234,training_window_median,4000,1000,0.136558897793293,,
1234,training_window_median,5000,1000,0.08860664814710617,,
1234,training_window_median,6000,1000,0.0556742288172245,,
1234,training_window_median,7000,1000,0.04162083938717842,,
1234,training_window_median,8000,1000,0.035834576934576035,,
1234,training_window_median,9000,1000,0.030407877638936043,,
1234,training_window_median,10000,1000,0.025626203045248985,,
1234,training_window_median,11000,1000,0.023606018163263798,,
1234,training_window_median,12000,1000,0.0215033907443285,,
1234,training_window_median,13000,1000,0.020032864063978195,,
1234,training_window_median,14000,1000,0.019175014458596706,,
1234,training_window_median,15000,1000,0.017683962360024452,,
1234,training_window_median,16000,1000,0.01725908275693655,,
1234,training_window_median,17000,1000,0.01566678937524557,,
1234,training_window_median,18000,1000,0.015341678634285927,,
1234,training_window_median,19000,1000,0.014218168333172798,,
1234,training_window_median,20000,999,0.01386507973074913,,
1234,validation,1000,,1.7443004846572876,1.6456032991409302,5.008012885809876e-05
1234,validation,2000,,0.2514854669570923,0.015498800203204155,0.9626402258872986
1234,validation,3000,,0.21219134330749512,0.013512877747416496,0.9791666865348816
1234,validation,4000,,0.17580144107341766,0.0023419263307005167,0.9959434866905212
1234,validation,5000,,0.1953974962234497,0.0002508967008907348,0.998948335647583
1234,validation,6000,,0.2325865477323532,9.329133172286674e-05,0.9992988705635071
1234,validation,7000,,0.24666813015937805,7.99522313172929e-05,0.9996995329856873
1234,validation,8000,,0.25883209705352783,0.00168305030092597,0.9956930875778198
1234,validation,9000,,0.26121002435684204,0.00031155082979239523,0.9996494650840759
1234,validation,10000,,0.2755780518054962,3.873907189699821e-05,0.9996995329856873
1234,validation,11000,,0.2905837297439575,0.00039734458550810814,0.9985476732254028
1234,validation,12000,,0.2893106937408447,0.0005313295405358076,0.9985977411270142
1234,validation,13000,,0.28783658146858215,0.00020568173204082996,0.9991486668586731
1234,validation,14000,,0.28672534227371216,0.0002442682452965528,0.9993489384651184
1234,validation,15000,,0.30414333939552307,0.0005590869695879519,0.9983974099159241
1234,validation,16000,,0.30168119072914124,0.0002424016856821254,0.9992488026618958
1234,validation,17000,,0.3228353261947632,2.2506173991132528e-05,0.9998497366905212
1234,validation,18000,,0.3215286433696747,2.6768062525661662e-05,0.9998998641967773
1234,validation,19000,,0.3269284963607788,2.6544666980043985e-05,0.9998497366905212
1235,training_window_median,1000,1000,2.6880027055740356,,
1235,training_window_median,2000,1000,1.5891929268836975,,
1235,training_window_median,3000,1000,1.3970866203308105,,
1235,training_window_median,4000,1000,0.9973025321960449,,
1235,training_window_median,5000,1000,0.5553475022315979,,
1235,training_window_median,6000,1000,0.3776775747537613,,
1235,training_window_median,7000,1000,0.30431023240089417,,
1235,training_window_median,8000,1000,0.2526455968618393,,
1235,training_window_median,9000,1000,0.22232476621866226,,
1235,training_window_median,10000,1000,0.16670645773410797,,
1235,training_window_median,11000,1000,0.13467545062303543,,
1235,training_window_median,12000,1000,0.1192760057747364,,
1235,training_window_median,13000,1000,0.11123821139335632,,
1235,training_window_median,14000,1000,0.10618238151073456,,
1235,training_window_median,15000,1000,0.09905698522925377,,
1235,training_window_median,16000,1000,0.0987018458545208,,
1235,training_window_median,17000,1000,0.09227858111262321,,
1235,training_window_median,18000,1000,0.09096790850162506,,
1235,training_window_median,19000,1000,0.08751064538955688,,
1235,training_window_median,20000,999,0.08623187243938446,,
1235,validation,1000,,1.7645283937454224,1.6766051054000854,0.0001502403902122751
1235,validation,2000,,1.6588457822799683,1.5664769411087036,0.0001502403902122751
1235,validation,3000,,1.6708247661590576,0.4656704068183899,0.13206130266189575
1235,validation,4000,,1.9561498165130615,0.5764933228492737,0.15044070780277252
1235,validation,5000,,2.093975067138672,0.6560215353965759,0.1640625
1235,validation,6000,,2.2883710861206055,0.7203575372695923,0.16846954822540283
1235,validation,7000,,2.3869822025299072,0.7493537068367004,0.17422877252101898
1235,validation,8000,,2.4695756435394287,0.7771047353744507,0.17508013546466827
1235,validation,9000,,2.465071439743042,0.8000407814979553,0.17738381028175354
1235,validation,10000,,2.071758270263672,0.8135073781013489,0.1753305345773697
1235,validation,11000,,2.0139713287353516,0.8132650852203369,0.1772836595773697
1235,validation,12000,,2.029322624206543,0.8196137547492981,0.17503005266189575
1235,validation,13000,,2.02512526512146,0.8070170283317566,0.17763420939445496
1235,validation,14000,,2.0439727306365967,0.8194149732589722,0.17763420939445496
1235,validation,15000,,2.0526444911956787,0.8117210268974304,0.1766326129436493
1235,validation,16000,,2.059666633605957,0.8110365271568298,0.17618189752101898
1235,validation,17000,,2.0750906467437744,0.8198001384735107,0.17693309485912323
1235,validation,18000,,2.094923496246338,0.8256010413169861,0.17508013546466827
1235,validation,19000,,2.111100196838379,0.8237216472625732,0.17067307233810425
